review_id,submitted_at,application_id,source_file,overall_status,field,expected_value,observed_value,field_status,confidence,explanation,processing_time_ms
DEMO-001,2026-08-18T08:15:00-07:00,COLA-2026-10421,harbor-light-gin.png,match,brand_name,HARBOR LIGHT,HARBOR LIGHT,match,0.99,Brand name matches after normalization,3210
DEMO-001,2026-08-18T08:15:00-07:00,COLA-2026-10421,harbor-light-gin.png,match,class_type,Distilled Gin,Distilled Gin,match,0.98,Class or type matches,3210
DEMO-001,2026-08-18T08:15:00-07:00,COLA-2026-10421,harbor-light-gin.png,match,alcohol_content,47% Alc./Vol. (94 Proof),47% Alc./Vol. (94 Proof),match,0.99,Alcohol content and proof are consistent,3210
DEMO-001,2026-08-18T08:15:00-07:00,COLA-2026-10421,harbor-light-gin.png,match,net_contents,750 mL,750 mL,match,0.99,Net contents match,3210
DEMO-001,2026-08-18T08:15:00-07:00,COLA-2026-10421,harbor-light-gin.png,match,bottler_name_address,Harbor Light Distilling Portland OR,Harbor Light Distilling Portland OR,match,0.97,Bottler name and address match,3210
DEMO-001,2026-08-18T08:15:00-07:00,COLA-2026-10421,harbor-light-gin.png,match,country_of_origin,Not applicable (domestic product),,match,0.98,No import origin was expected or observed,3210
DEMO-001,2026-08-18T08:15:00-07:00,COLA-2026-10421,harbor-light-gin.png,match,government_warning,Required government warning wording,Required government warning wording,match,0.97,Required warning text and heading were detected,3210
DEMO-002,2026-08-18T08:42:00-07:00,COLA-2026-10422,mesa-roja-tequila.png,match,brand_name,MESA ROJA,MESA ROJA,match,0.99,Brand name matches after normalization,3440
DEMO-002,2026-08-18T08:42:00-07:00,COLA-2026-10422,mesa-roja-tequila.png,match,class_type,Tequila Blanco,Tequila Blanco,match,0.98,Class or type matches,3440
DEMO-002,2026-08-18T08:42:00-07:00,COLA-2026-10422,mesa-roja-tequila.png,match,alcohol_content,40% Alc./Vol. (80 Proof),40% Alc./Vol. (80 Proof),match,0.99,Alcohol content and proof are consistent,3440
DEMO-002,2026-08-18T08:42:00-07:00,COLA-2026-10422,mesa-roja-tequila.png,match,net_contents,750 mL,750 mL,match,0.99,Net contents match,3440
DEMO-002,2026-08-18T08:42:00-07:00,COLA-2026-10422,mesa-roja-tequila.png,match,bottler_name_address,Imported by Mesa Roja Imports San Diego CA,Imported by Mesa Roja Imports San Diego CA,match,0.96,Importer name and address match,3440
DEMO-002,2026-08-18T08:42:00-07:00,COLA-2026-10422,mesa-roja-tequila.png,match,country_of_origin,Mexico,Mexico,match,0.98,Country of origin matches,3440
DEMO-002,2026-08-18T08:42:00-07:00,COLA-2026-10422,mesa-roja-tequila.png,match,government_warning,Required government warning wording,Required government warning wording,match,0.97,Required warning text and heading were detected,3440
DEMO-003,2026-08-18T09:05:00-07:00,COLA-2026-10423,north-fork-vodka.png,mismatch,brand_name,NORTH FORK,NORTH FORK,match,0.99,Brand name matches after normalization,2980
DEMO-003,2026-08-18T09:05:00-07:00,COLA-2026-10423,north-fork-vodka.png,mismatch,class_type,Vodka,Vodka,match,0.99,Class or type matches,2980
DEMO-003,2026-08-18T09:05:00-07:00,COLA-2026-10423,north-fork-vodka.png,mismatch,alcohol_content,40% Alc./Vol. (80 Proof),40% Alc./Vol. (80 Proof),match,0.98,Alcohol content and proof are consistent,2980
DEMO-003,2026-08-18T09:05:00-07:00,COLA-2026-10423,north-fork-vodka.png,mismatch,net_contents,1 L,1 L,match,0.99,Net contents match,2980
DEMO-003,2026-08-18T09:05:00-07:00,COLA-2026-10423,north-fork-vodka.png,mismatch,bottler_name_address,North Fork Spirits Minneapolis MN,North Fork Spirits Minneapolis MN,match,0.97,Bottler name and address match,2980
DEMO-003,2026-08-18T09:05:00-07:00,COLA-2026-10423,north-fork-vodka.png,mismatch,country_of_origin,Not applicable (domestic product),,match,0.98,No import origin was expected or observed,2980
DEMO-003,2026-08-18T09:05:00-07:00,COLA-2026-10423,north-fork-vodka.png,mismatch,government_warning,Required government warning wording,Warning text is missing required pregnancy wording,mismatch,0.95,Government warning wording is incomplete,2980
DEMO-004,2026-08-18T09:31:00-07:00,COLA-2026-10424,stone-bridge-bourbon.png,mismatch,brand_name,STONE BRIDGE,STONE BRIDGE,match,0.99,Brand name matches after normalization,3650
